	louvain	celltype	X	Y
Cell_0	13	ExcitatoryL2and3	1632.02	-1305.7
Cell_1	3	ExcitatoryL2and3	1589.47	-669.51
Cell_2	3	ExcitatoryL2and3	1539.89	-1185.9
Cell_3	7	Inhibitory	1513.94	-710.24
Cell_4	6	ExcitatoryL4	1477.85	-763.87
Cell_5	7	Inhibitory	1304.03	-1142.4
Cell_6	3	ExcitatoryL2and3	1291.34	-957.71
Cell_7	7	Inhibitory	1282.49	-1725.4
Cell_8	3	ExcitatoryL2and3	1218.73	-806.56
Cell_9	3	ExcitatoryL2and3	1192.59	-1800.1
Cell_10	3	ExcitatoryL2and3	1202.12	-1886.0
Cell_11	3	ExcitatoryL2and3	1183.07	-950.97
Cell_12	20	Micro	1162.46	-593.51
Cell_13	3	ExcitatoryL2and3	1128.82	-1596.5
Cell_14	3	ExcitatoryL2and3	1115.86	-1021.4
Cell_15	7	Inhibitory	1102.88	-1696.0
Cell_16	19	Astro	1074.92	-391.16
Cell_17	3	ExcitatoryL2and3	1045.9	-597.81
Cell_18	20	Micro	1037.4	-1865.2
Cell_19	9	ExcitatoryL2and3	1024.7	-469.54
Cell_20	3	ExcitatoryL2and3	1017.8	-1636.6
Cell_21	7	Inhibitory	1006.0	-344.12
Cell_22	2	Endo	992.9	-1293.3
Cell_23	7	Inhibitory	980.8	-1378.9
Cell_24	6	ExcitatoryL4	938.6	-1594.2
Cell_25	7	Inhibitory	922.8	-822.23
Cell_26	6	ExcitatoryL4	923.3	-560.36
Cell_27	6	ExcitatoryL4	912.5	-742.3
Cell_28	3	ExcitatoryL2and3	913.1	-1751.6
Cell_29	6	ExcitatoryL4	882.0	-668.36
Cell_30	3	ExcitatoryL2and3	810.5	-241.57
Cell_31	3	ExcitatoryL2and3	800.9	-624.11
Cell_32	3	ExcitatoryL2and3	802.4	-103.12
Cell_33	3	ExcitatoryL2and3	798.2	-449.39
Cell_34	2	Endo	752.7	-1342.6
Cell_35	23	Inhibitory	704.5	-407.86
Cell_36	10	Astro	618.2	-894.7
Cell_37	2	Endo	610.6	-1272.8
Cell_38	20	Micro	612.9	-1363.8
Cell_39	10	Astro	565.4	-421.27
Cell_40	3	ExcitatoryL2and3	553.6	-271.42
Cell_41	10	Astro	531.9	-1069.0
Cell_42	10	Astro	460.6	-426.59
Cell_43	2	Endo	417.4	-669.71
Cell_44	10	Astro	359.3	-782.61
Cell_45	20	Micro	348.1	-228.25
Cell_46	7	Inhibitory	354.2	-442.86
Cell_47	10	Astro	341.4	-973.21
Cell_48	7	Inhibitory	321.0	-1201.2
Cell_49	20	Micro	321.4	-854.77
Cell_50	10	Astro	1924.97	-855.84
Cell_51	3	ExcitatoryL2and3	1838.05	-469.57
Cell_52	7	Inhibitory	1831.19	-1090.2
Cell_53	25	OPC	1801.58	-267.56
Cell_54	3	ExcitatoryL2and3	1785.95	-981.25
Cell_55	13	ExcitatoryL2and3	1769.95	-390.59
Cell_56	3	ExcitatoryL2and3	1734.44	-1117.0
Cell_57	3	ExcitatoryL2and3	1687.25	-520.51
Cell_58	3	ExcitatoryL2and3	1664.57	-980.24
Cell_59	7	Inhibitory	1657.9	-799.96
Cell_60	3	ExcitatoryL2and3	1508.52	-527.31
Cell_61	7	Inhibitory	1482.67	-621.1
Cell_62	3	ExcitatoryL2and3	1369.49	-571.13
Cell_63	3	ExcitatoryL2and3	1839.07	-1458.0
Cell_64	13	ExcitatoryL2and3	1802.32	-1738.7
Cell_65	20	Micro	1805.0	-1561.7
Cell_66	13	ExcitatoryL2and3	1812.68	-1319.2
Cell_67	6	ExcitatoryL4	1797.44	-1875.4
Cell_68	3	ExcitatoryL2and3	1712.56	-1428.9
Cell_69	6	ExcitatoryL4	1679.39	-152.2
Cell_70	6	ExcitatoryL4	1649.39	-334.16
Cell_71	13	ExcitatoryL2and3	1632.03	-1623.4
Cell_72	9	ExcitatoryL2and3	1575.96	-228.45
Cell_73	3	ExcitatoryL2and3	1575.84	-1829.6
Cell_74	6	ExcitatoryL4	1556.42	-1741.8
Cell_75	6	ExcitatoryL4	1566.09	-1418.1
Cell_76	6	ExcitatoryL4	1551.13	-363.87
Cell_77	20	Micro	1492.65	-291.89
Cell_78	3	ExcitatoryL2and3	1474.76	-1745.0
Cell_79	3	ExcitatoryL2and3	1466.01	-1617.6
Cell_80	6	ExcitatoryL4	1449.26	-1238.0
Cell_81	6	ExcitatoryL4	1457.75	-1875.9
Cell_82	6	ExcitatoryL4	1457.65	-402.8
Cell_83	6	ExcitatoryL4	1444.82	-238.72
Cell_84	3	ExcitatoryL2and3	1440.75	-1298.3
Cell_85	7	Inhibitory	1427.06	-1401.0
Cell_86	2	Endo	1414.83	-312.93
Cell_87	9	ExcitatoryL2and3	1400.12	-448.36
Cell_88	3	ExcitatoryL2and3	1357.53	-699.92
Cell_89	3	ExcitatoryL2and3	1351.5	-1923.8
Cell_90	3	ExcitatoryL2and3	1339.72	-370.94
Cell_91	6	ExcitatoryL4	1298.05	-781.88
Cell_92	6	ExcitatoryL4	1244.38	-191.29
Cell_93	7	Inhibitory	1232.85	-1960.0
Cell_94	9	ExcitatoryL2and3	1228.13	-739.38
Cell_95	3	ExcitatoryL2and3	1210.65	-374.81
Cell_96	3	ExcitatoryL2and3	1208.0	-1502.4
Cell_97	3	ExcitatoryL2and3	1171.89	-266.0
Cell_98	3	ExcitatoryL2and3	1156.03	-1357.2
Cell_99	10	Astro	1142.25	-446.9
Cell_100	3	ExcitatoryL2and3	1109.02	-1308.9
Cell_101	3	ExcitatoryL2and3	1124.85	-745.68
Cell_102	3	ExcitatoryL2and3	1106.51	-1460.8
Cell_103	3	ExcitatoryL2and3	1064.34	-799.79
Cell_104	25	OPC	992.3	-996.9
Cell_105	25	OPC	990.5	-886.81
Cell_106	7	Inhibitory	969.6	-1198.5
Cell_107	13	ExcitatoryL2and3	956.3	-113.16
Cell_108	3	ExcitatoryL2and3	939.4	-280.75
Cell_109	7	Inhibitory	907.5	-1444.0
Cell_110	6	ExcitatoryL4	894.4	-234.96
Cell_111	3	ExcitatoryL2and3	891.1	-404.65
Cell_112	3	ExcitatoryL2and3	874.3	-1127.0
Cell_113	7	Inhibitory	786.5	-921.13
Cell_114	3	ExcitatoryL2and3	775.7	-796.06
Cell_115	2	Endo	490.8	-1336.0
Cell_116	2	Endo	421.9	-1794.6
Cell_117	10	Astro	270.0	-1383.3
Cell_118	3	ExcitatoryL2and3	1915.47	-1378.7
Cell_119	18	ExcitatoryL5and6	1896.97	-1547.5
Cell_120	6	ExcitatoryL4	1811.07	-1634.0
Cell_121	9	ExcitatoryL2and3	3248.83	-681.3
Cell_122	9	ExcitatoryL2and3	3142.78	-773.77
Cell_123	25	OPC	3121.48	-861.26
Cell_124	19	Astro	3076.52	-682.46
Cell_125	2	Endo	3023.19	-495.56
Cell_126	9	ExcitatoryL2and3	3013.1	-594.86
Cell_127	13	ExcitatoryL2and3	2990.89	-837.63
Cell_128	9	ExcitatoryL2and3	2904.34	-667.59
Cell_129	6	ExcitatoryL4	2865.11	-575.64
Cell_130	19	Astro	2863.69	-830.55
Cell_131	9	ExcitatoryL2and3	2773.15	-822.66
Cell_132	9	ExcitatoryL2and3	2719.27	-926.19
Cell_133	9	ExcitatoryL2and3	3561.82	-1601.6
Cell_134	13	ExcitatoryL2and3	3523.37	-1354.5
Cell_135	13	ExcitatoryL2and3	3495.02	-1800.3
Cell_136	10	Astro	3492.02	-1675.2
Cell_137	9	ExcitatoryL2and3	3423.84	-1597.6
Cell_138	13	ExcitatoryL2and3	3420.45	-911.59
Cell_139	9	ExcitatoryL2and3	3388.07	-1512.5
Cell_140	19	Astro	3289.95	-1083.2
Cell_141	13	ExcitatoryL2and3	3286.12	-1606.3
Cell_142	6	ExcitatoryL4	3229.47	-1456.6
Cell_143	6	ExcitatoryL4	3163.33	-1464.7
Cell_144	9	ExcitatoryL2and3	3140.89	-1080.9
Cell_145	25	OPC	3155.23	-1255.1
Cell_146	23	Inhibitory	3144.8	-1814.4
Cell_147	3	ExcitatoryL2and3	3126.12	-1320.5
Cell_148	19	Astro	3099.55	-376.66
Cell_149	6	ExcitatoryL4	3054.52	-301.91
Cell_150	7	Inhibitory	3054.32	-1376.3
Cell_151	9	ExcitatoryL2and3	3039.23	-1224.7
Cell_152	9	ExcitatoryL2and3	3011.5	-407.08
Cell_153	9	ExcitatoryL2and3	2997.63	-1439.6
Cell_154	2	Endo	2906.28	-1660.6
Cell_155	2	Endo	2897.63	-1213.6
Cell_156	6	ExcitatoryL4	2869.05	-1581.2
Cell_157	3	ExcitatoryL2and3	2865.05	-1496.8
Cell_158	9	ExcitatoryL2and3	2853.74	-375.37
Cell_159	10	Astro	2856.53	-451.05
Cell_160	3	ExcitatoryL2and3	2847.87	-508.2
Cell_161	3	ExcitatoryL2and3	2836.59	-1402.5
Cell_162	6	ExcitatoryL4	2807.27	-1159.9
Cell_163	9	ExcitatoryL2and3	2746.73	-1495.1
Cell_164	9	ExcitatoryL2and3	2729.73	-366.94
Cell_165	9	ExcitatoryL2and3	2729.87	-1388.5
Cell_166	20	Micro	2722.57	-513.53
Cell_167	2	Endo	2710.83	-1039.8
Cell_168	19	Astro	2700.37	-289.92
Cell_169	6	ExcitatoryL4	2686.47	-1555.4
Cell_170	10	Astro	2657.27	-397.93
Cell_171	9	ExcitatoryL2and3	2639.67	-1816.8
Cell_172	3	ExcitatoryL2and3	2637.67	-1311.8
Cell_173	6	ExcitatoryL4	2633.27	-1223.2
Cell_174	3	ExcitatoryL2and3	2621.07	-1954.9
Cell_175	6	ExcitatoryL4	2624.17	-1410.2
Cell_176	7	Inhibitory	2615.77	-1675.7
Cell_177	2	Endo	2607.77	-1002.1
Cell_178	6	ExcitatoryL4	2599.27	-1103.8
Cell_179	9	ExcitatoryL2and3	2590.07	-247.23
Cell_180	9	ExcitatoryL2and3	2583.17	-1534.7
Cell_181	19	Astro	2569.37	-493.17
Cell_182	9	ExcitatoryL2and3	2563.67	-176.2
Cell_183	6	ExcitatoryL4	2543.37	-1197.8
Cell_184	6	ExcitatoryL4	2528.47	-1370.7
