	Astro	Endo	Ependymal	ExcitatoryL2and3	ExcitatoryL4	ExcitatoryL5and6	Inhibitory	Micro	NSC	Neuroblast	Non-known	OPC	Olig
spot_0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_1	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
spot_2	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
spot_3	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	0.0
spot_4	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_5	0.1111111111111111	0.3333333333333333	0.0	0.1111111111111111	0.0	0.0	0.3333333333333333	0.1111111111111111	0.0	0.0	0.0	0.0	0.0
spot_6	0.1	0.0	0.0	0.2	0.3	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0
spot_7	0.1	0.0	0.0	0.7	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
spot_8	0.0	0.0	0.0	0.6153846153846154	0.07692307692307693	0.0	0.23076923076923078	0.07692307692307693	0.0	0.0	0.0	0.0	0.0
spot_9	0.0	0.0	0.0	0.625	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
spot_10	0.0	0.0	0.0	0.6923076923076923	0.15384615384615385	0.0	0.07692307692307693	0.07692307692307693	0.0	0.0	0.0	0.0	0.0
spot_11	0.15384615384615385	0.07692307692307693	0.0	0.38461538461538464	0.23076923076923078	0.0	0.07692307692307693	0.07692307692307693	0.0	0.0	0.0	0.0	0.0
spot_12	0.0	0.0	0.0	0.375	0.375	0.125	0.0	0.125	0.0	0.0	0.0	0.0	0.0
spot_13	0.0	0.0	0.0	0.7272727272727273	0.18181818181818182	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0
spot_14	0.1111111111111111	0.0	0.0	0.6666666666666666	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0
spot_15	0.0	0.0	0.0	0.42857142857142855	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0
spot_16	0.42857142857142855	0.0	0.0	0.0	0.42857142857142855	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0
spot_17	0.2	0.2	0.0	0.4	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
spot_18	0.07692307692307693	0.15384615384615385	0.0	0.46153846153846156	0.23076923076923078	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0
spot_19	0.0	0.25	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_20	0.0	0.125	0.0	0.375	0.375	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0
spot_21	0.0	0.1875	0.0	0.375	0.4375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_22	0.125	0.0	0.0	0.625	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0
spot_23	0.4	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_24	0.16666666666666666	0.0	0.0	0.6666666666666666	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0
spot_25	0.125	0.0	0.0	0.375	0.25	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.0
spot_26	0.16666666666666666	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0
spot_27	0.25	0.25	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_28	0.0	0.0	0.0	0.3333333333333333	0.0	0.16666666666666666	0.3333333333333333	0.0	0.0	0.16666666666666666	0.0	0.0	0.0
spot_29	0.0	0.2	0.0	0.2	0.0	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0
spot_30	0.0	0.25	0.0	0.125	0.0	0.375	0.0	0.0	0.125	0.0	0.0	0.0	0.125
spot_31	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.0	0.2	0.2	0.0	0.0	0.0
spot_32	0.0	0.2	0.0	0.2	0.0	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0
spot_33	0.1111111111111111	0.1111111111111111	0.0	0.2222222222222222	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0
spot_34	0.5714285714285714	0.0	0.0	0.0	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0
spot_35	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
spot_36	0.0	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_37	0.23076923076923078	0.0	0.0	0.38461538461538464	0.07692307692307693	0.15384615384615385	0.07692307692307693	0.0	0.07692307692307693	0.0	0.0	0.0	0.0
spot_38	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.5714285714285714	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0
spot_39	0.0	0.0	0.0	0.2	0.0	0.2	0.2	0.0	0.2	0.2	0.0	0.0	0.0
spot_40	0.0	0.0	0.0	0.125	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.125
spot_41	0.0	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_42	0.25	0.0	0.0	0.25	0.0	0.25	0.0	0.08333333333333333	0.08333333333333333	0.0	0.0	0.0	0.08333333333333333
spot_43	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0
spot_44	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.5714285714285714	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0
spot_45	0.09090909090909091	0.18181818181818182	0.0	0.0	0.09090909090909091	0.5454545454545454	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0
spot_46	0.0	0.1111111111111111	0.0	0.0	0.0	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_47	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0
spot_48	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_49	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_50	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_51	0.1111111111111111	0.0	0.0	0.0	0.0	0.6666666666666666	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.1111111111111111
spot_52	0.09090909090909091	0.09090909090909091	0.0	0.0	0.09090909090909091	0.6363636363636364	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0
spot_53	0.0	0.08333333333333333	0.0	0.0	0.08333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.08333333333333333
spot_54	0.17647058823529413	0.23529411764705882	0.0	0.0	0.0	0.47058823529411764	0.058823529411764705	0.058823529411764705	0.0	0.0	0.0	0.0	0.0
spot_55	0.0	0.0	0.0	0.2	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_56	0.0	0.0	0.0	0.0	0.08333333333333333	0.5	0.0	0.08333333333333333	0.0	0.08333333333333333	0.0	0.16666666666666666	0.08333333333333333
spot_57	0.3333333333333333	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_58	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
spot_59	0.0	0.125	0.0	0.0	0.0	0.625	0.125	0.125	0.0	0.0	0.0	0.0	0.0
spot_60	0.2	0.1	0.0	0.0	0.0	0.6	0.0	0.1	0.0	0.0	0.0	0.0	0.0
spot_61	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.5555555555555556	0.1111111111111111	0.0	0.0	0.0	0.0	0.1111111111111111	0.0
spot_62	0.1	0.0	0.1	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.1
spot_63	0.0	0.2	0.0	0.0	0.0	0.7	0.0	0.1	0.0	0.0	0.0	0.0	0.0
spot_64	0.2	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_65	0.16666666666666666	0.3333333333333333	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_66	0.08333333333333333	0.08333333333333333	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
spot_67	0.08333333333333333	0.08333333333333333	0.0	0.0	0.0	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.25	0.16666666666666666
spot_68	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spot_69	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
spot_70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
spot_71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
